n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 1 7 8 23 
i 5 0 6 7 22 
i 3 2 0 1 8 
i 4 3 5 0 7 
i 15 14 4 3 0 
i 0 5 3 4 15 
i 1 0 2 3 14 
i 7 6 0 5 4 
i 8 7 1 0 3 
i 23 22 8 7 0 
i 0 5 7 6 21 
i 1 0 8 7 22 
i 3 4 0 5 6 
i 2 3 1 0 7 
i 13 14 2 3 0 
i 0 1 3 2 13 
i 5 0 4 3 14 
i 7 8 0 1 2 
i 6 7 5 0 3 
i 21 22 6 7 0 
n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 1 7 8 24 
i 5 0 6 7 23 
i 3 2 0 1 9 
i 4 3 5 0 8 
i 16 15 17 4 0 
i 0 5 3 4 16 
i 1 0 2 3 15 
i 7 6 0 5 17 
i 8 7 1 0 4 
i 24 23 9 8 0 
i 0 5 7 6 20 
i 1 0 8 7 21 
i 3 4 0 5 19 
i 2 3 1 0 6 
i 12 13 11 2 0 
i 0 1 3 2 12 
i 5 0 4 3 13 
i 7 8 0 1 11 
i 6 7 5 0 2 
i 20 21 19 6 0 
n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 1 7 8 9 
i 5 0 6 7 8 
i 3 2 0 1 10 
i 4 3 5 0 1 
i 17 4 18 5 0 
i 0 5 3 4 17 
i 1 0 2 3 4 
i 7 6 0 5 18 
i 8 7 1 0 5 
i 9 8 10 1 0 
i 0 5 7 6 19 
i 1 0 8 7 6 
i 3 4 0 5 18 
i 2 3 1 0 5 
i 11 2 10 1 0 
i 0 1 3 2 11 
i 5 0 4 3 2 
i 7 8 0 1 10 
i 6 7 5 0 1 
i 19 6 18 5 0 
n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 1 7 8 10 
i 5 0 6 7 1 
i 3 2 0 1 11 
i 4 3 5 0 2 
i 18 5 19 6 0 
i 0 5 3 4 18 
i 1 0 2 3 5 
i 7 6 0 5 19 
i 8 7 1 0 6 
i 10 1 11 2 0 
i 0 5 7 6 18 
i 1 0 8 7 5 
i 3 4 0 5 17 
i 2 3 1 0 4 
i 10 1 9 8 0 
i 0 1 3 2 10 
i 5 0 4 3 1 
i 7 8 0 1 9 
i 6 7 5 0 8 
i 18 5 17 4 0 
n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} 
i 0 1 7 8 22 
i 5 0 6 7 21 
i 3 2 0 1 7 
i 4 3 5 0 6 
i 14 13 3 2 0 
i 0 5 3 4 14 
i 1 0 2 3 13 
i 7 6 0 5 3 
i 8 7 1 0 2 
i 22 21 7 6 0 
i 0 5 7 6 22 
i 1 0 8 7 23 
i 3 4 0 5 7 
i 2 3 1 0 8 
i 14 15 3 4 0 
i 0 1 3 2 14 
i 5 0 4 3 15 
i 7 8 0 1 3 
i 6 7 5 0 4 
i 22 23 7 8 0 
n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,2} 
i 0 1 7 8 9 
i 5 0 6 7 8 
i 3 2 0 1 10 
i 4 3 5 0 1 
i 17 4 18 5 0 
i 0 5 3 4 17 
i 1 0 2 3 4 
i 7 6 0 5 18 
i 8 7 1 0 5 
i 9 8 10 1 0 
i 0 5 7 6 19 
i 1 0 8 7 6 
i 3 4 0 5 18 
i 2 3 1 0 5 
i 11 2 10 1 0 
i 0 1 3 2 11 
i 5 0 4 3 2 
i 7 8 0 1 10 
i 6 7 5 0 1 
i 19 6 18 5 0 
n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{0,2} 
i 0 1 7 8 10 
i 5 0 6 7 1 
i 3 2 0 1 11 
i 4 3 5 0 2 
i 18 5 19 6 0 
i 0 5 3 4 18 
i 1 0 2 3 5 
i 7 6 0 5 19 
i 8 7 1 0 6 
i 10 1 11 2 0 
i 0 5 7 6 18 
i 1 0 8 7 5 
i 3 4 0 5 17 
i 2 3 1 0 4 
i 10 1 9 8 0 
i 0 1 3 2 10 
i 5 0 4 3 1 
i 7 8 0 1 9 
i 6 7 5 0 8 
i 18 5 17 4 0 
n {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 19 20 21 
i 2 0 5 6 7 
i 11 1 0 7 8 
i 12 2 3 0 1 
i 13 3 4 5 0 
i 0 2 11 12 13 
i 6 0 1 2 3 
i 19 5 0 3 4 
i 20 6 7 0 5 
i 21 7 8 1 0 
i 0 8 9 24 23 
i 4 0 1 8 7 
i 17 5 0 7 6 
i 16 4 3 0 5 
i 15 3 2 1 0 
i 0 4 17 16 15 
i 8 0 5 4 3 
i 9 1 0 3 2 
i 24 8 7 0 1 
i 23 7 6 5 0 
n {-1,1},{0,1} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 6 21 22 
i 3 0 5 6 7 
i 2 1 0 7 8 
i 13 2 3 0 1 
i 14 3 4 5 0 
i 0 3 2 13 14 
i 7 0 1 2 3 
i 6 5 0 3 4 
i 21 6 7 0 5 
i 22 7 8 1 0 
i 0 7 8 23 22 
i 3 0 1 8 7 
i 4 5 0 7 6 
i 15 4 3 0 5 
i 14 3 2 1 0 
i 0 3 4 15 14 
i 7 0 5 4 3 
i 8 1 0 3 2 
i 23 8 7 0 1 
i 22 7 6 5 0 
n {-1,0},{0,1} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 8 7 22 23 
i 4 0 5 6 7 
i 3 1 0 7 8 
i 14 2 3 0 1 
i 15 3 4 5 0 
i 0 4 3 14 15 
i 8 0 1 2 3 
i 7 5 0 3 4 
i 22 6 7 0 5 
i 23 7 8 1 0 
i 0 6 7 22 21 
i 2 0 1 8 7 
i 3 5 0 7 6 
i 14 4 3 0 5 
i 13 3 2 1 0 
i 0 2 3 14 13 
i 6 0 5 4 3 
i 7 1 0 3 2 
i 22 8 7 0 1 
i 21 7 6 5 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 6 21 22 45 
i 2 0 7 8 23 
i 13 3 0 1 8 
i 14 4 5 0 7 
i 33 15 4 3 0 
i 0 2 13 14 33 
i 6 0 3 4 15 
i 21 7 0 5 4 
i 22 8 1 0 3 
i 45 23 8 7 0 
i 0 8 23 22 45 
i 4 0 7 6 21 
i 15 3 0 5 6 
i 14 2 1 0 7 
i 33 13 2 3 0 
i 0 4 15 14 33 
i 8 0 3 2 13 
i 23 7 0 1 2 
i 22 6 5 0 3 
i 45 21 6 7 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 6 21 22 46 
i 2 0 7 8 24 
i 13 3 0 1 9 
i 14 4 5 0 8 
i 34 16 17 4 0 
i 0 2 13 14 34 
i 6 0 3 4 16 
i 21 7 0 5 17 
i 22 8 1 0 4 
i 46 24 9 8 0 
i 0 8 23 22 44 
i 4 0 7 6 20 
i 15 3 0 5 19 
i 14 2 1 0 6 
i 32 12 11 2 0 
i 0 4 15 14 32 
i 8 0 3 2 12 
i 23 7 0 1 11 
i 22 6 5 0 2 
i 44 20 19 6 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 6 21 22 23 
i 2 0 7 8 9 
i 13 3 0 1 10 
i 14 4 5 0 1 
i 15 17 18 5 0 
i 0 2 13 14 15 
i 6 0 3 4 17 
i 21 7 0 5 18 
i 22 8 1 0 5 
i 23 9 10 1 0 
i 0 8 23 22 21 
i 4 0 7 6 19 
i 15 3 0 5 18 
i 14 2 1 0 5 
i 13 11 10 1 0 
i 0 4 15 14 13 
i 8 0 3 2 11 
i 23 7 0 1 10 
i 22 6 5 0 1 
i 21 19 18 5 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 6 21 22 8 
i 2 0 7 8 10 
i 13 3 0 1 11 
i 14 4 5 0 2 
i 4 18 19 6 0 
i 0 2 13 14 4 
i 6 0 3 4 18 
i 21 7 0 5 19 
i 22 8 1 0 6 
i 8 10 11 2 0 
i 0 8 23 22 6 
i 4 0 7 6 18 
i 15 3 0 5 17 
i 14 2 1 0 4 
i 2 10 9 8 0 
i 0 4 15 14 2 
i 8 0 3 2 10 
i 23 7 0 1 9 
