36
{{0,0,0,0,0,0,0,0,0,0,0,0,0.0338541667*J1^2*J2^1+0.0008680556*J2^3+0,-0.0005011721*J1^3+-0.0195457122*J1^1*J2^2+0,-0.0095222701*J1^3+-0.0105246143*J1^1*J2^2+0,0.0060763889*J1^2*J2^1+0.0054976852*J2^3+0,0.0008680556*J1^3+0.0338541667*J1^1*J2^2+0,-0.0195457122*J1^2*J2^1+-0.0005011721*J2^3+0,-0.0105246143*J1^2*J2^1+-0.0095222701*J2^3+0,0.0054976852*J1^3+0.0060763889*J1^1*J2^2+0,0.0006138080*J1^3+0.0202556630*J1^2*J2^1+-0.0202556630*J1^1*J2^2+-0.0006138080*J2^3+0,0.0003543822*J1^3+0.0116946125*J1^2*J2^1+-0.0116946125*J1^1*J2^2+-0.0003543822*J2^3+0,-0.0060244973*J1^3+0.0053157329*J1^2*J2^1+-0.0053157329*J1^1*J2^2+0.0060244973*J2^3+0,-0.0034782452*J1^3+0.0030690398*J1^2*J2^1+-0.0030690398*J1^1*J2^2+0.0034782452*J2^3+0,-0.0234375000*J1^3+-0.0234375000*J2^3+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,-0.0078125000*J1^3+-0.0078125000*J2^3+0,-0.0234375000*J1^2*J2^1+-0.0234375000*J1^1*J2^2+0,0.0135316469*J1^3+0.0135316469*J2^3+0,0.0135316469*J1^3+0.0135316469*J2^3+0,-0.0078125000*J1^2*J2^1+-0.0078125000*J1^1*J2^2+0,0,0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0},
{0,0,0,0,0,0,0,0,0,0,0,0,-0.0010023442*J1^3+-0.0165386796*J1^2*J2^1+-0.0030070327*J1^1*J2^2+0.0005011721*J2^3+0,-0.0002893519*J1^3+0.0017361111*J1^2*J2^1+0.0095486111*J1^1*J2^2+0.0005787037*J2^3+0,0.0049189815*J1^3+0.0017361111*J1^2*J2^1+0.0043402778*J1^1*J2^2+0.0005787037*J2^3+0,-0.0003341147*J1^3+-0.0025058605*J1^2*J2^1+-0.0010023442*J1^1*J2^2+-0.0028399753*J2^3+0,0.0005011721*J1^3+-0.0030070327*J1^2*J2^1+-0.0165386796*J1^1*J2^2+-0.0010023442*J2^3+0,0.0005787037*J1^3+0.0095486111*J1^2*J2^1+0.0017361111*J1^1*J2^2+-0.0002893519*J2^3+0,0.0005787037*J1^3+0.0043402778*J1^2*J2^1+0.0017361111*J1^1*J2^2+0.0049189815*J2^3+0,-0.0028399753*J1^3+-0.0010023442*J1^2*J2^1+-0.0025058605*J1^1*J2^2+-0.0003341147*J2^3+0,0.0010631466*J1^3+-0.0159471988*J1^2*J2^1+0.0159471988*J1^1*J2^2+-0.0010631466*J2^3+0,0.0006138080*J1^3+-0.0092071195*J1^2*J2^1+0.0092071195*J1^1*J2^2+-0.0006138080*J2^3+0,0.0042966558*J1^3+-0.0055242717*J1^2*J2^1+0.0055242717*J1^1*J2^2+-0.0042966558*J2^3+0,0.0024806754*J1^3+-0.0031894398*J1^2*J2^1+0.0031894398*J1^1*J2^2+-0.0024806754*J2^3+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,-0.0078125000*J1^3+-0.0078125000*J2^3+0,0.0078125000*J1^3+-0.0156250000*J1^2*J2^1+-0.0156250000*J1^1*J2^2+0.0078125000*J2^3+0,0.0090210980*J1^3+-0.0045105490*J1^2*J2^1+-0.0045105490*J1^1*J2^2+0.0090210980*J2^3+0,0.0135316469*J1^3+0.0135316469*J2^3+0,-0.0078125000*J1^2*J2^1+-0.0078125000*J1^1*J2^2+0,-0.0156250000*J1^3+0.0078125000*J1^2*J2^1+0.0078125000*J1^1*J2^2+-0.0156250000*J2^3+0,-0.0045105490*J1^3+0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0045105490*J2^3+0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0,0,0},
{0,0,0,0,0,0,0,0,0,0,0,0,-0.0095222701*J1^3+-0.0105246143*J1^1*J2^2+0,0.0060763889*J1^2*J2^1+0.0054976852*J2^3+0,-0.0109953704*J1^3+0.0338541667*J1^2*J2^1+-0.0121527778*J1^1*J2^2+0.0008680556*J2^3+0,-0.0005011721*J1^3+0.0070164095*J1^2*J2^1+-0.0195457122*J1^1*J2^2+0.0063481800*J2^3+0,-0.0105246143*J1^2*J2^1+-0.0095222701*J2^3+0,0.0054976852*J1^3+0.0060763889*J1^1*J2^2+0,0.0008680556*J1^3+-0.0121527778*J1^2*J2^1+0.0338541667*J1^1*J2^2+-0.0109953704*J2^3+0,0.0063481800*J1^3+-0.0195457122*J1^2*J2^1+0.0070164095*J1^1*J2^2+-0.0005011721*J2^3+0,-0.0060244973*J1^3+0.0053157329*J1^2*J2^1+-0.0053157329*J1^1*J2^2+0.0060244973*J2^3+0,-0.0034782452*J1^3+0.0030690398*J1^2*J2^1+-0.0030690398*J1^1*J2^2+0.0034782452*J2^3+0,-0.0063426824*J1^3+0.0263937427*J1^2*J2^1+-0.0263937427*J1^1*J2^2+0.0063426824*J2^3+0,-0.0036619494*J1^3+0.0152384345*J1^2*J2^1+-0.0152384345*J1^1*J2^2+0.0036619494*J2^3+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,-0.0078125000*J1^3+-0.0078125000*J2^3+0,0.0078125000*J1^3+-0.0156250000*J1^2*J2^1+-0.0156250000*J1^1*J2^2+0.0078125000*J2^3+0,0.0090210980*J1^3+-0.0045105490*J1^2*J2^1+-0.0045105490*J1^1*J2^2+0.0090210980*J2^3+0,0.0135316469*J1^3+0.0135316469*J2^3+0,-0.0078125000*J1^2*J2^1+-0.0078125000*J1^1*J2^2+0,-0.0156250000*J1^3+0.0078125000*J1^2*J2^1+0.0078125000*J1^1*J2^2+-0.0156250000*J2^3+0,-0.0045105490*J1^3+0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0045105490*J2^3+0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0,0,0},
{0,0,0,0,0,0,0,0,0,0,0,0,0.0049189815*J1^3+0.0017361111*J1^2*J2^1+0.0043402778*J1^1*J2^2+0.0005787037*J2^3+0,-0.0003341147*J1^3+-0.0025058605*J1^2*J2^1+-0.0010023442*J1^1*J2^2+-0.0028399753*J2^3+0,0.0046776063*J1^3+-0.0145339912*J1^2*J2^1+0.0020046884*J1^1*J2^2+0.0011694016*J2^3+0,-0.0006751543*J1^3+-0.0011574074*J1^2*J2^1+0.0083912037*J1^1*J2^2+-0.0027006173*J2^3+0,0.0005787037*J1^3+0.0043402778*J1^2*J2^1+0.0017361111*J1^1*J2^2+0.0049189815*J2^3+0,-0.0028399753*J1^3+-0.0010023442*J1^2*J2^1+-0.0025058605*J1^1*J2^2+-0.0003341147*J2^3+0,0.0011694016*J1^3+0.0020046884*J1^2*J2^1+-0.0145339912*J1^1*J2^2+0.0046776063*J2^3+0,-0.0027006173*J1^3+0.0083912037*J1^2*J2^1+-0.0011574074*J1^1*J2^2+-0.0006751543*J2^3+0,0.0042966558*J1^3+-0.0055242717*J1^2*J2^1+0.0055242717*J1^1*J2^2+-0.0042966558*J2^3+0,0.0024806754*J1^3+-0.0031894398*J1^2*J2^1+0.0031894398*J1^1*J2^2+-0.0024806754*J2^3+0,0.0060244973*J1^3+-0.0223260784*J1^2*J2^1+0.0223260784*J1^1*J2^2+-0.0060244973*J2^3+0,0.0034782452*J1^3+-0.0128899674*J1^2*J2^1+0.0128899674*J1^1*J2^2+-0.0034782452*J2^3+0,-0.0234375000*J1^3+0.0156250000*J1^2*J2^1+0.0156250000*J1^1*J2^2+-0.0234375000*J2^3+0,-0.0090210980*J1^3+0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+-0.0090210980*J2^3+0,0.0090210980*J1^3+-0.0045105490*J1^2*J2^1+-0.0045105490*J1^1*J2^2+0.0090210980*J2^3+0,0.0026041667*J1^3+-0.0052083333*J1^2*J2^1+-0.0052083333*J1^1*J2^2+0.0026041667*J2^3+0,0.0156250000*J1^3+-0.0234375000*J1^2*J2^1+-0.0234375000*J1^1*J2^2+0.0156250000*J2^3+0,0.0135316469*J1^3+-0.0090210980*J1^2*J2^1+-0.0090210980*J1^1*J2^2+0.0135316469*J2^3+0,-0.0045105490*J1^3+0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0045105490*J2^3+0,-0.0052083333*J1^3+0.0026041667*J1^2*J2^1+0.0026041667*J1^1*J2^2+-0.0052083333*J2^3+0,0.0220970869*J1^3+-0.0220970869*J1^2*J2^1+-0.0220970869*J1^1*J2^2+0.0220970869*J2^3+0,0.0127577591*J1^3+-0.0127577591*J1^2*J2^1+-0.0127577591*J1^1*J2^2+0.0127577591*J2^3+0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0},
{0,0,0,0,0,0,0,0,0,0,0,0,0.0008680556*J1^3+0.0338541667*J1^1*J2^2+0,-0.0195457122*J1^2*J2^1+-0.0005011721*J2^3+0,-0.0105246143*J1^2*J2^1+-0.0095222701*J2^3+0,0.0054976852*J1^3+0.0060763889*J1^1*J2^2+0,0.0338541667*J1^2*J2^1+0.0008680556*J2^3+0,-0.0005011721*J1^3+-0.0195457122*J1^1*J2^2+0,-0.0095222701*J1^3+-0.0105246143*J1^1*J2^2+0,0.0060763889*J1^2*J2^1+0.0054976852*J2^3+0,-0.0006138080*J1^3+-0.0202556630*J1^2*J2^1+0.0202556630*J1^1*J2^2+0.0006138080*J2^3+0,-0.0003543822*J1^3+-0.0116946125*J1^2*J2^1+0.0116946125*J1^1*J2^2+0.0003543822*J2^3+0,0.0060244973*J1^3+-0.0053157329*J1^2*J2^1+0.0053157329*J1^1*J2^2+-0.0060244973*J2^3+0,0.0034782452*J1^3+-0.0030690398*J1^2*J2^1+0.0030690398*J1^1*J2^2+-0.0034782452*J2^3+0,-0.0234375000*J1^2*J2^1+-0.0234375000*J1^1*J2^2+0,0.0135316469*J1^3+0.0135316469*J2^3+0,0.0135316469*J1^3+0.0135316469*J2^3+0,-0.0078125000*J1^2*J2^1+-0.0078125000*J1^1*J2^2+0,-0.0234375000*J1^3+-0.0234375000*J2^3+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,-0.0078125000*J1^3+-0.0078125000*J2^3+0,0,0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0},
{0,0,0,0,0,0,0,0,0,0,0,0,0.0005011721*J1^3+-0.0030070327*J1^2*J2^1+-0.0165386796*J1^1*J2^2+-0.0010023442*J2^3+0,0.0005787037*J1^3+0.0095486111*J1^2*J2^1+0.0017361111*J1^1*J2^2+-0.0002893519*J2^3+0,0.0005787037*J1^3+0.0043402778*J1^2*J2^1+0.0017361111*J1^1*J2^2+0.0049189815*J2^3+0,-0.0028399753*J1^3+-0.0010023442*J1^2*J2^1+-0.0025058605*J1^1*J2^2+-0.0003341147*J2^3+0,-0.0010023442*J1^3+-0.0165386796*J1^2*J2^1+-0.0030070327*J1^1*J2^2+0.0005011721*J2^3+0,-0.0002893519*J1^3+0.0017361111*J1^2*J2^1+0.0095486111*J1^1*J2^2+0.0005787037*J2^3+0,0.0049189815*J1^3+0.0017361111*J1^2*J2^1+0.0043402778*J1^1*J2^2+0.0005787037*J2^3+0,-0.0003341147*J1^3+-0.0025058605*J1^2*J2^1+-0.0010023442*J1^1*J2^2+-0.0028399753*J2^3+0,-0.0010631466*J1^3+0.0159471988*J1^2*J2^1+-0.0159471988*J1^1*J2^2+0.0010631466*J2^3+0,-0.0006138080*J1^3+0.0092071195*J1^2*J2^1+-0.0092071195*J1^1*J2^2+0.0006138080*J2^3+0,-0.0042966558*J1^3+0.0055242717*J1^2*J2^1+-0.0055242717*J1^1*J2^2+0.0042966558*J2^3+0,-0.0024806754*J1^3+0.0031894398*J1^2*J2^1+-0.0031894398*J1^1*J2^2+0.0024806754*J2^3+0,0.0135316469*J1^3+0.0135316469*J2^3+0,-0.0078125000*J1^2*J2^1+-0.0078125000*J1^1*J2^2+0,-0.0156250000*J1^3+0.0078125000*J1^2*J2^1+0.0078125000*J1^1*J2^2+-0.0156250000*J2^3+0,-0.0045105490*J1^3+0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0045105490*J2^3+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,-0.0078125000*J1^3+-0.0078125000*J2^3+0,0.0078125000*J1^3+-0.0156250000*J1^2*J2^1+-0.0156250000*J1^1*J2^2+0.0078125000*J2^3+0,0.0090210980*J1^3+-0.0045105490*J1^2*J2^1+-0.0045105490*J1^1*J2^2+0.0090210980*J2^3+0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0,0,0},
{0,0,0,0,0,0,0,0,0,0,0,0,-0.0105246143*J1^2*J2^1+-0.0095222701*J2^3+0,0.0054976852*J1^3+0.0060763889*J1^1*J2^2+0,0.0008680556*J1^3+-0.0121527778*J1^2*J2^1+0.0338541667*J1^1*J2^2+-0.0109953704*J2^3+0,0.0063481800*J1^3+-0.0195457122*J1^2*J2^1+0.0070164095*J1^1*J2^2+-0.0005011721*J2^3+0,-0.0095222701*J1^3+-0.0105246143*J1^1*J2^2+0,0.0060763889*J1^2*J2^1+0.0054976852*J2^3+0,-0.0109953704*J1^3+0.0338541667*J1^2*J2^1+-0.0121527778*J1^1*J2^2+0.0008680556*J2^3+0,-0.0005011721*J1^3+0.0070164095*J1^2*J2^1+-0.0195457122*J1^1*J2^2+0.0063481800*J2^3+0,0.0060244973*J1^3+-0.0053157329*J1^2*J2^1+0.0053157329*J1^1*J2^2+-0.0060244973*J2^3+0,0.0034782452*J1^3+-0.0030690398*J1^2*J2^1+0.0030690398*J1^1*J2^2+-0.0034782452*J2^3+0,0.0063426824*J1^3+-0.0263937427*J1^2*J2^1+0.0263937427*J1^1*J2^2+-0.0063426824*J2^3+0,0.0036619494*J1^3+-0.0152384345*J1^2*J2^1+0.0152384345*J1^1*J2^2+-0.0036619494*J2^3+0,0.0135316469*J1^3+0.0135316469*J2^3+0,-0.0078125000*J1^2*J2^1+-0.0078125000*J1^1*J2^2+0,-0.0156250000*J1^3+0.0078125000*J1^2*J2^1+0.0078125000*J1^1*J2^2+-0.0156250000*J2^3+0,-0.0045105490*J1^3+0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0045105490*J2^3+0,0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+0,-0.0078125000*J1^3+-0.0078125000*J2^3+0,0.0078125000*J1^3+-0.0156250000*J1^2*J2^1+-0.0156250000*J1^1*J2^2+0.0078125000*J2^3+0,0.0090210980*J1^3+-0.0045105490*J1^2*J2^1+-0.0045105490*J1^1*J2^2+0.0090210980*J2^3+0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0,0,0},
{0,0,0,0,0,0,0,0,0,0,0,0,0.0005787037*J1^3+0.0043402778*J1^2*J2^1+0.0017361111*J1^1*J2^2+0.0049189815*J2^3+0,-0.0028399753*J1^3+-0.0010023442*J1^2*J2^1+-0.0025058605*J1^1*J2^2+-0.0003341147*J2^3+0,0.0011694016*J1^3+0.0020046884*J1^2*J2^1+-0.0145339912*J1^1*J2^2+0.0046776063*J2^3+0,-0.0027006173*J1^3+0.0083912037*J1^2*J2^1+-0.0011574074*J1^1*J2^2+-0.0006751543*J2^3+0,0.0049189815*J1^3+0.0017361111*J1^2*J2^1+0.0043402778*J1^1*J2^2+0.0005787037*J2^3+0,-0.0003341147*J1^3+-0.0025058605*J1^2*J2^1+-0.0010023442*J1^1*J2^2+-0.0028399753*J2^3+0,0.0046776063*J1^3+-0.0145339912*J1^2*J2^1+0.0020046884*J1^1*J2^2+0.0011694016*J2^3+0,-0.0006751543*J1^3+-0.0011574074*J1^2*J2^1+0.0083912037*J1^1*J2^2+-0.0027006173*J2^3+0,-0.0042966558*J1^3+0.0055242717*J1^2*J2^1+-0.0055242717*J1^1*J2^2+0.0042966558*J2^3+0,-0.0024806754*J1^3+0.0031894398*J1^2*J2^1+-0.0031894398*J1^1*J2^2+0.0024806754*J2^3+0,-0.0060244973*J1^3+0.0223260784*J1^2*J2^1+-0.0223260784*J1^1*J2^2+0.0060244973*J2^3+0,-0.0034782452*J1^3+0.0128899674*J1^2*J2^1+-0.0128899674*J1^1*J2^2+0.0034782452*J2^3+0,0.0156250000*J1^3+-0.0234375000*J1^2*J2^1+-0.0234375000*J1^1*J2^2+0.0156250000*J2^3+0,0.0135316469*J1^3+-0.0090210980*J1^2*J2^1+-0.0090210980*J1^1*J2^2+0.0135316469*J2^3+0,-0.0045105490*J1^3+0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0045105490*J2^3+0,-0.0052083333*J1^3+0.0026041667*J1^2*J2^1+0.0026041667*J1^1*J2^2+-0.0052083333*J2^3+0,-0.0234375000*J1^3+0.0156250000*J1^2*J2^1+0.0156250000*J1^1*J2^2+-0.0234375000*J2^3+0,-0.0090210980*J1^3+0.0135316469*J1^2*J2^1+0.0135316469*J1^1*J2^2+-0.0090210980*J2^3+0,0.0090210980*J1^3+-0.0045105490*J1^2*J2^1+-0.0045105490*J1^1*J2^2+0.0090210980*J2^3+0,0.0026041667*J1^3+-0.0052083333*J1^2*J2^1+-0.0052083333*J1^1*J2^2+0.0026041667*J2^3+0,-0.0220970869*J1^3+0.0220970869*J1^2*J2^1+0.0220970869*J1^1*J2^2+-0.0220970869*J2^3+0,-0.0127577591*J1^3+0.0127577591*J1^2*J2^1+0.0127577591*J1^1*J2^2+-0.0127577591*J2^3+0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0},
{0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0007087644*J1^3+0.0276418113*J1^2*J2^1+-0.0276418113*J1^1*J2^2+0.0007087644*J2^3+0,0,-0.0077749010*J1^3+0.0085933116*J1^2*J2^1+-0.0085933116*J1^1*J2^2+0.0077749010*J2^3+0,0,0.0007087644*J1^3+-0.0276418113*J1^2*J2^1+0.0276418113*J1^1*J2^2+-0.0007087644*J2^3+0,0,0.0077749010*J1^3+-0.0085933116*J1^2*J2^1+0.0085933116*J1^1*J2^2+-0.0077749010*J2^3+0,0,0.0010023442*J1^3+0.0330773592*J1^2*J2^1+-0.0330773592*J1^1*J2^2+-0.0010023442*J2^3+0,0,-0.0098379630*J1^3+0.0086805556*J1^2*J2^1+-0.0086805556*J1^1*J2^2+0.0098379630*J2^3+0,0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0,0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0,0,0,0,-0.0312500000*J1^3+0.0312500000*J1^2*J2^1+0.0312500000*J1^1*J2^2+-0.0312500000*J2^3+0},
{0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012276159*J1^3+-0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+0.0012276159*J2^3+0,0,0.0035438220*J1^3+-0.0021262932*J1^2*J2^1+0.0021262932*J1^1*J2^2+-0.0035438220*J2^3+0,0,0.0012276159*J1^3+0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+-0.0012276159*J2^3+0,0,-0.0035438220*J1^3+0.0021262932*J1^2*J2^1+-0.0021262932*J1^1*J2^2+0.0035438220*J2^3+0,0,0.0017361111*J1^3+-0.0260416667*J1^2*J2^1+0.0260416667*J1^1*J2^2+-0.0017361111*J2^3+0,0,0.0070164095*J1^3+-0.0090210980*J1^2*J2^1+0.0090210980*J1^1*J2^2+-0.0070164095*J2^3+0,0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0,0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0,0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,0,0.0312500000*J1^3+-0.0312500000*J1^2*J2^1+-0.0312500000*J1^1*J2^2+0.0312500000*J2^3+0,0,0},
{0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0077749010*J1^3+0.0085933116*J1^2*J2^1+-0.0085933116*J1^1*J2^2+0.0077749010*J2^3+0,0,-0.0096864467*J1^3+0.0375645128*J1^2*J2^1+-0.0375645128*J1^1*J2^2+0.0096864467*J2^3+0,0,0.0077749010*J1^3+-0.0085933116*J1^2*J2^1+0.0085933116*J1^1*J2^2+-0.0077749010*J2^3+0,0,0.0096864467*J1^3+-0.0375645128*J1^2*J2^1+0.0375645128*J1^1*J2^2+-0.0096864467*J2^3+0,0,-0.0098379630*J1^3+0.0086805556*J1^2*J2^1+-0.0086805556*J1^1*J2^2+0.0098379630*J2^3+0,0,-0.0103575569*J1^3+0.0431008013*J1^2*J2^1+-0.0431008013*J1^1*J2^2+0.0103575569*J2^3+0,0,-0.0110485435*J1^3+0.0110485435*J1^2*J2^1+0.0110485435*J1^1*J2^2+-0.0110485435*J2^3+0,0,0.0191366386*J1^3+-0.0191366386*J1^2*J2^1+-0.0191366386*J1^1*J2^2+0.0191366386*J2^3+0,0,0.0110485435*J1^3+-0.0110485435*J1^2*J2^1+-0.0110485435*J1^1*J2^2+0.0110485435*J2^3+0,0,-0.0191366386*J1^3+0.0191366386*J1^2*J2^1+0.0191366386*J1^1*J2^2+-0.0191366386*J2^3+0,0,0.0312500000*J1^3+-0.0312500000*J1^2*J2^1+-0.0312500000*J1^1*J2^2+0.0312500000*J2^3+0,0,0},
